data,chuva_mm
2015-04-18,0.20
2015-04-19,1.00
2015-04-20,0.20
2015-04-21,0.60
2015-04-22,8.40
2015-04-23,0.00
2015-04-24,0.00
2015-04-25,0.00
2015-04-26,0.00
2015-04-27,0.00
2015-04-28,0.00
2015-04-29,0.00
2015-04-30,0.00
2015-05-01,0.00
2015-05-02,0.00
2015-05-03,5.60
2015-05-04,39.80
2015-05-05,0.00
2015-05-06,0.00
2015-05-07,0.00
2015-05-08,0.00
2015-05-09,0.00
2015-05-10,45.20
2015-05-11,0.00
2015-05-12,0.20
2015-05-13,0.00
2015-05-14,0.00
2015-05-15,0.00
2015-05-16,0.00
2015-05-17,0.00
2015-05-18,0.00
2015-05-19,0.00
2015-05-20,0.00
2015-05-21,0.00
2015-05-22,0.00
2015-05-23,0.00
2015-05-24,0.00
2015-05-25,29.40
2015-05-26,0.20
2015-05-27,7.60
2015-05-28,0.20
2015-05-29,0.00
2015-05-30,9.80
2015-05-31,5.20
2015-06-01,0.00
2015-06-02,0.00
2015-06-03,0.00
2015-06-04,0.00
2015-06-05,0.00
2015-06-06,0.00
2015-06-07,0.00
2015-06-08,0.00
2015-06-09,0.00
2015-06-10,0.00
2015-06-11,0.00
2015-06-12,0.00
2015-06-13,0.00
2015-06-14,0.00
2015-06-15,19.60
2015-06-16,0.00
2015-06-17,0.00
2015-06-18,0.00
2015-06-19,0.20
2015-06-20,0.00
2015-06-21,0.00
2015-06-22,0.00
2015-06-23,0.00
2015-06-24,0.00
2015-06-25,0.00
2015-06-26,0.00
2015-06-27,0.00
2015-06-28,0.00
2015-06-29,0.00
2015-06-30,18.80
2015-07-01,0.20
2015-07-02,12.80
2015-07-03,130.40
2015-07-04,8.80
2015-07-05,0.00
2015-07-06,0.00
2015-07-07,16.00
2015-07-08,36.40
2015-07-09,0.00
2015-07-10,52.60
2015-07-11,45.00
2015-07-12,9.60
2015-07-13,1.80
2015-07-14,0.00
2015-07-15,17.40
2015-07-16,0.60
