Mes,Dia,Hora,etp
01,20,20,0.00000
01,20,21,0.00000
01,20,22,0.00000
01,20,23,0.00000
01,21,00,0.00000
01,21,01,0.00000
01,21,02,0.00000
01,21,03,0.00000
01,21,04,0.00000
01,21,05,0.00000
01,21,06,0.00000
01,21,07,0.20000
01,21,08,0.36636
01,21,09,0.49909
01,21,10,0.60000
01,21,11,0.66727
01,21,12,0.70000
01,21,13,0.70000
01,21,14,0.66727
01,21,15,0.60000
01,21,16,0.49909
01,21,17,0.36636
01,21,18,0.20000
01,21,19,0.00000
01,21,20,0.00000
01,21,21,0.00000
01,21,22,0.00000
01,21,23,0.00000
01,22,00,0.00000
01,22,01,0.00000
01,22,02,0.00000
01,22,03,0.00000
01,22,04,0.00000
01,22,05,0.00000
01,22,06,0.00000
01,22,07,0.16273
01,22,08,0.29636
01,22,09,0.40455
01,22,10,0.48455
01,22,11,0.53727
01,22,12,0.56455
01,22,13,0.56455
01,22,14,0.53727
01,22,15,0.48455
01,22,16,0.40455
01,22,17,0.29636
01,22,18,0.16273
01,22,19,0.00000
01,22,20,0.00000
01,22,21,0.00000
01,22,22,0.00000
01,22,23,0.00000
01,23,00,0.00000
01,23,01,0.00000
01,23,02,0.00000
01,23,03,0.00000
01,23,04,0.00000
01,23,05,0.00000
01,23,06,0.00000
01,23,07,0.17273
01,23,08,0.31273
01,23,09,0.42636
01,23,10,0.51273
01,23,11,0.56636
01,23,12,0.59909
01,23,13,0.59909
01,23,14,0.56636
01,23,15,0.51273
01,23,16,0.42636
01,23,17,0.31273
01,23,18,0.17273
01,23,19,0.00000
01,23,20,0.00000
01,23,21,0.00000
01,23,22,0.00000
01,23,23,0.00000
01,24,00,0.00000
01,24,01,0.00000
01,24,02,0.00000
01,24,03,0.00000
01,24,04,0.00000
01,24,05,0.00000
01,24,06,0.00000
01,24,07,0.17727
01,24,08,0.32727
01,24,09,0.44818
01,24,10,0.53636
01,24,11,0.59818
01,24,12,0.62909
01,24,13,0.62909
01,24,14,0.59818
01,24,15,0.53636
01,24,16,0.44818
01,24,17,0.32727
01,24,18,0.17727
01,24,19,0.00000
01,24,20,0.00000
01,24,21,0.00000
01,24,22,0.00000
01,24,23,0.00000
01,25,00,0.00000
01,25,01,0.00000
01,25,02,0.00000
01,25,03,0.00000
01,25,04,0.00000
01,25,05,0.00000
01,25,06,0.00000
01,25,07,0.13273
01,25,08,0.24182
01,25,09,0.33182
01,25,10,0.39818
01,25,11,0.44091
01,25,12,0.46273
01,25,13,0.46273
01,25,14,0.44091
01,25,15,0.39818
01,25,16,0.33182
01,25,17,0.24182
01,25,18,0.13273
01,25,19,0.00000
01,25,20,0.00000
01,25,21,0.00000
01,25,22,0.00000
01,25,23,0.00000
01,26,00,0.00000
01,26,01,0.00000
01,26,02,0.00000
01,26,03,0.00000
01,26,04,0.00000
01,26,05,0.00000
01,26,06,0.00000
01,26,07,0.16000
01,26,08,0.29091
01,26,09,0.39818
01,26,10,0.47818
01,26,11,0.53182
01,26,12,0.55818
01,26,13,0.55818
01,26,14,0.53182
01,26,15,0.47818
01,26,16,0.39818
01,26,17,0.29091
01,26,18,0.16000
01,26,19,0.00000
01,26,20,0.00000
01,26,21,0.00000
01,26,22,0.00000
01,26,23,0.00000
01,27,00,0.00000
01,27,01,0.00000
01,27,02,0.00000
01,27,03,0.00000
01,27,04,0.00000
01,27,05,0.00000
01,27,06,0.00000
01,27,07,0.14364
01,27,08,0.26364
01,27,09,0.35727
01,27,10,0.43000
01,27,11,0.47727
01,27,12,0.50091
01,27,13,0.50091
01,27,14,0.47727
01,27,15,0.43000
01,27,16,0.35727
01,27,17,0.26364
01,27,18,0.14364
01,27,19,0.00000
01,27,20,0.00000
01,27,21,0.00000
01,27,22,0.00000
01,27,23,0.00000
01,28,00,0.00000
01,28,01,0.00000
01,28,02,0.00000
01,28,03,0.00000
01,28,04,0.00000
01,28,05,0.00000
01,28,06,0.00000
01,28,07,0.19000
01,28,08,0.34909
01,28,09,0.47636
01,28,10,0.57091
01,28,11,0.63545
01,28,12,0.66636
01,28,13,0.66636
01,28,14,0.63545
01,28,15,0.57091
01,28,16,0.47636
01,28,17,0.34909
01,28,18,0.19000
01,28,19,0.00000
01,28,20,0.00000
01,28,21,0.00000
01,28,22,0.00000
01,28,23,0.00000
01,29,00,0.00000
01,29,01,0.00000
01,29,02,0.00000
01,29,03,0.00000
01,29,04,0.00000
01,29,05,0.00000
01,29,06,0.00000
01,29,07,0.16364
01,29,08,0.30091
01,29,09,0.41091
01,29,10,0.49273
01,29,11,0.54636
01,29,12,0.57545
01,29,13,0.57545
01,29,14,0.54636
01,29,15,0.49273
01,29,16,0.41091
01,29,17,0.30091
01,29,18,0.16364
01,29,19,0.00000
01,29,20,0.00000
01,29,21,0.00000
01,29,22,0.00000
01,29,23,0.00000
01,30,00,0.00000
01,30,01,0.00000
01,30,02,0.00000
01,30,03,0.00000
01,30,04,0.00000
01,30,05,0.00000
01,30,06,0.00000
01,30,07,0.13545
01,30,08,0.24273
01,30,09,0.33273
01,30,10,0.39909
01,30,11,0.44091
01,30,12,0.46455
01,30,13,0.46455
01,30,14,0.44091
01,30,15,0.39909
01,30,16,0.33273
01,30,17,0.24273
01,30,18,0.13545
01,30,19,0.00000
01,30,20,0.00000
01,30,21,0.00000
01,30,22,0.00000
01,30,23,0.00000
01,31,00,0.00000
01,31,01,0.00000
01,31,02,0.00000
01,31,03,0.00000
01,31,04,0.00000
01,31,05,0.00000
01,31,06,0.00000
01,31,07,0.16455
01,31,08,0.30364
01,31,09,0.41455
01,31,10,0.49727
01,31,11,0.55273
01,31,12,0.58091
01,31,13,0.58091
01,31,14,0.55273
01,31,15,0.49727
01,31,16,0.41455
01,31,17,0.30364
01,31,18,0.16455
01,31,19,0.00000
01,31,20,0.00000
01,31,21,0.00000
01,31,22,0.00000
01,31,23,0.00000
02,01,00,0.00000
02,01,01,0.00000
02,01,02,0.00000
02,01,03,0.00000
02,01,04,0.00000
02,01,05,0.00000
02,01,06,0.00000
02,01,07,0.15364
02,01,08,0.28000
02,01,09,0.38364
02,01,10,0.46000
02,01,11,0.51182
02,01,12,0.53545
02,01,13,0.53545
02,01,14,0.51182
02,01,15,0.46000
02,01,16,0.38364
02,01,17,0.28000
02,01,18,0.15364
02,01,19,0.00000
02,01,20,0.00000
02,01,21,0.00000
02,01,22,0.00000
